restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link,price_for_one
29,Cake Bite,3.6,"Bakery, Desserts, Fast Food",341,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/cake-bite-jayanagar-bangalore/order,200
30,Aarya Home Made,0,"North Indian, Chinese, South Indian, Andhra",0,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/aarya-home-made-marathahalli-bangalore/order,200
31,Sanchez,3.7,"Mexican, Tex-Mex, Beverages",278,"UB City, Bangalore",77.59620032,12.97229145,https://www.zomato.com/bangalore/sanchez-lavelle-road/order,1100
32,Sardar Ji Ka Dhaba,0,"North Indian, Kebab",0,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/sardar-ji-ka-dhaba-marathahalli-bangalore/order,300
33,Cake Boutique,0,"Bakery, Desserts",0,"Jalahalli, Bangalore",77.5483803,13.0464531,https://www.zomato.com/bangalore/cake-boutique-jalahalli-bangalore/order,400
34,Veruthe Oru Thattukada,4,"Kerala, South Indian",2861,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/veruthe-oru-thattukada-bannerghatta-road/order,150
35,Bhartiya Jalpan,3.8,"North Indian, Street Food, Rajasthani, Bengali, Mithai, Beverages, Desserts",2005,"Commercial Street, Bangalore",77.6082954,12.9822323,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order,350
36,Champaran Meat House,3.7,"North Indian, Bihari",1476,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/champaran-meat-house-hsr-bangalore/order,150
37,Kwality Wall’s Frozen Dessert And Ice Cream Shop,4.4,"Ice Cream, Desserts",301,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-9-marathahalli-bangalore/order,100
38,The Masala Bay Leaf,3.9,"North Indian, Biryani",50,"Kalyan Nagar, Bangalore",77.6403368,13.0221416,https://www.zomato.com/bangalore/the-masala-bay-leaf-kalyan-nagar-bangalore/order,150
1,Itminaan Matka Biryani - Slow Cooked,3.8,"Biryani, North Indian, Desserts",62,"City Market, Bangalore",77.57627054,12.965718,https://www.zomato.com/bangalore/itminaan-matka-biryani-slow-cooked-city-market-bangalore/order,250
